text,label
"TNI dilaporkan terlibat dalam konspirasi internasional untuk memicu perang di Asia Tenggara, yang mengancam stabilitas kawasan.",fake
"Menurut sumber yang tidak dapat dipercaya, sejumlah prajurit TNI dilatih untuk menyebarkan propaganda anti-pemerintah di media sosial.",fake
"TNI sedang merencanakan serangan terhadap negara tetangga untuk merebut wilayah strategis, meskipun ini tidak didukung oleh bukti nyata.",fake
"Angkatan Darat Indonesia terlibat dalam pembunuhan massal terhadap kelompok etnis minoritas di Papua, meskipun tidak ada laporan resmi atau bukti terkait.",fake
"TNI sudah melaksanakan latihan perang besar di Pulau Jawa yang akan digunakan untuk menyerang negara-negara tetangga, ini adalah kebohongan yang beredar di media sosial.",fake
"Berita yang beredar di media sosial mengatakan bahwa TNI akan melancarkan operasi militer di Bali untuk menanggulangi ancaman terorisme, namun ini hanyalah desas-desus yang tidak terverifikasi.",fake
"TNI sedang terlibat dalam kegiatan ilegal yang merugikan perekonomian negara, namun tidak ada informasi yang mendukung klaim tersebut.",fake
"TNI melakukan latihan perang dengan negara asing dengan tujuan menginvasi negara lain, yang merupakan spekulasi tanpa bukti atau konfirmasi dari pihak berwenang.",fake
"Isu yang beredar mengenai pengembangan senjata pemusnah massal oleh TNI adalah informasi yang salah dan tidak berdasar.",fake
"TNI sedang merencanakan pemberontakan di dalam negeri untuk menggulingkan pemerintahan yang sah, sebuah teori konspirasi yang tidak memiliki dasar kenyataan.",fake
